tempo,var_pag
0.022264480590820312,20
0.021970272064208984,30
0.021883010864257812,40
0.02204132080078125,50
0.022025585174560547,60
0.022496461868286133,70
0.022017717361450195,80
0.022029638290405273,90
0.021744251251220703,100
0.021738290786743164,110
0.021793127059936523,120
0.022024869918823242,130
0.021856069564819336,140
0.021889925003051758,150
0.02222418785095215,160
0.022013425827026367,170
0.021858692169189453,180
0.021849632263183594,190
0.021987199783325195,200
0.021964073181152344,210
0.02187633514404297,220
0.02197408676147461,230
0.021831035614013672,240
0.021835803985595703,250
0.022365093231201172,260
0.023051023483276367,270
0.021704912185668945,280
0.021782398223876953,290
0.021873950958251953,300
0.02188563346862793,310
0.021746397018432617,320
0.02173590660095215,330
0.021731138229370117,340
0.021740198135375977,350
0.02202463150024414,360
0.021561622619628906,370
0.021654844284057617,380
0.021785736083984375,390
0.021703481674194336,400
0.021686315536499023,410
0.021593570709228516,420
0.02167201042175293,430
0.021890640258789062,440
0.021730899810791016,450
0.02184319496154785,460
0.021854162216186523,470
0.021864891052246094,480
0.02178335189819336,490
0.021837711334228516,500
0.021860837936401367,510
0.02173161506652832,520
0.022057533264160156,530
0.02319645881652832,540
0.0217130184173584,550
0.02175450325012207,560
0.021734237670898438,570
0.021745681762695312,580
0.02161383628845215,590
0.02168893814086914,600
0.02168726921081543,610
0.02170538902282715,620
0.02179265022277832,630
0.02170109748840332,640
0.021825313568115234,650
0.021607637405395508,660
0.02179431915283203,670
0.02176976203918457,680
0.024817705154418945,690
0.021682024002075195,700
0.021726131439208984,710
0.021687746047973633,720
0.021691560745239258,730
0.0216825008392334,740
0.021671056747436523,750
0.021834850311279297,760
0.021700382232666016,770
0.021745920181274414,780
0.021971940994262695,790
0.02307748794555664,800
0.021924495697021484,810
0.02184581756591797,820
0.021819591522216797,830
0.021742820739746094,840
0.021724462509155273,850
0.02173018455505371,860
0.02177906036376953,870
0.021641969680786133,880
0.02185988426208496,890
0.021510839462280273,900
0.02175426483154297,910
0.021651744842529297,920
0.021657943725585938,930
0.021715641021728516,940
0.021642684936523438,950
0.021837949752807617,960
0.021837234497070312,970
0.02176809310913086,980
0.021690845489501953,990
